"IntoGen_cancer_type","gene","class","event","n","class_total","prop"
"CCRCC","RANBP2","WGD","WT",4,4,1
"CCRCC","RANBP2","HM","WT",2,2,1
"CCRCC","RAP1GDS1","WGD","WT",3,3,1
"CCRCC","RASA1","Classic","M",1,1,1
"CCRCC","RNF213","WGD","WT",4,4,1
"CCRCC","RNF213","HM","WT",1,1,1
"CCRCC","SETD2","WGD","M",2,4,0.5
"CCRCC","SETD2","WGD","WT",2,4,0.5
"CCRCC","SETD2","HM","M",2,2,1
"CCRCC","SETD2","Classic","CNA_driver",1,4,0.25
"CCRCC","SETD2","Classic","M",3,4,0.75
